Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_A71E&SUBSYS_0C021028&REV_00\\3&11583659&1&68";Win32_PnPEntity.DeviceID="USB\\VID_2109&PID_0822\\5&1CADBC2&0&2";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_A71E&SUBSYS_0C021028&REV_00\\3&11583659&1&68";Win32_PnPEntity.DeviceID="USB\\VID_0BDA&PID_0411\\6&A4A03B9&1&2";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_A71E&SUBSYS_0C021028&REV_00\\3&11583659&1&68";Win32_PnPEntity.DeviceID="USB\\VID_0B95&PID_1790\\00AF80FB";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_USBHub.DeviceID="USB\\VID_0BDA&PID_555B\\200901010001";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_A71E&SUBSYS_0C021028&REV_00\\3&11583659&1&68";Win32_USBHub.DeviceID="USB\\ROOT_HUB30\\4&2BD89D0B&0&0";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_USBHub.DeviceID="USB\\VID_1A40&PID_0101\\7&268AEC4D&0&4";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_USBHub.DeviceID="USB\\VID_2109&PID_2822\\5&38487EDF&0&1";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_USBHub.DeviceID="USB\\VID_046D&PID_0AB7\\2033BAB02MK8";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_A71E&SUBSYS_0C021028&REV_00\\3&11583659&1&68";Win32_USBHub.DeviceID="USB\\VID_0BDA&PID_0411\\6&A4A03B9&1&2";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_A73E&SUBSYS_0C021028&REV_00&USB4_MS_CM\\3&11583659&1&6A";Win32_USBHub.DeviceID="USB4\\ROOT_DEVICE_ROUTER&VID_8086&PID_A73E\\4&C2CE0C0&0&0";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_A71E&SUBSYS_0C021028&REV_00\\3&11583659&1&68";Win32_USBHub.DeviceID="USB\\VID_2109&PID_0822\\5&1CADBC2&0&2";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_USBHub.DeviceID="USB\\VID_0BDA&PID_5411\\6&2DAFE9B1&1&2";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_USBHub.DeviceID="USB\\VID_3434&PID_D030\\5&38487EDF&0&4";
Win32_USBController.DeviceID="PCI\\VEN_8086&DEV_51ED&SUBSYS_0C021028&REV_01\\3&11583659&1&A0";Win32_USBHub.DeviceID="USB\\ROOT_HUB30\\4&3732AC1&0&0";
